SourceLog,Wheel,StepNumber,StepStart_s,StepEnd_s,VoltageStep_V,PlateauVoltage_V,PeakCurrentChange_A,Resistance_Ohm,Tau_s,Inductance_H,SteadyVoltage_V,SteadyCurrent_A,SteadyVelocity_rad_s,SteadySamples,Kb_V_rad_s,Kt_Nm_A,Damping_Nms,TotalInertia_kgm2
device-monitor-260909-113357.log,left,1,0.02,0.5,6,6,0.935833333333333,6.41139804096171,0.00119861904761905,0.00768482381376416,6,-0.0384615384615385,606.844615384615,13,0.010293561274142,0.010293561274142,6.52401278374518e-07,5.81243835803565e-06
device-monitor-260909-113357.log,left,2,1.002,1.501,6,6,1.06583333333333,5.62939796716184,0.00138270370370375,0.00778378941881703,6,-0.0369230769230769,617.791538461538,13,0.0100484618316905,0.0100484618316905,6.00558774395078e-07,5.81243835803565e-06
device-monitor-260909-113357.log,left,3,2.002,2.502,6,6,0.934166666666667,6.4228367528992,0.00134266666666694,0.00862372881356105,6,-0.0269230769230769,618.012307692308,13,0.00998834885831434,0.00998834885831434,4.3513224785292e-07,5.81243835803565e-06
device-monitor-260909-113357.log,right,1,0.02,0.5,6,6,2.095,2.86396181384248,0.00116189090909091,0.00332761119548709,6,0.276153846153846,652.473076923077,13,0.00798363352314042,0.00798363352314042,3.37900701450388e-06,5.81243835803565e-06
device-monitor-260909-113357.log,right,2,1.002,1.501,6,6,2.0075,2.98879202988792,0.00154447457627116,0.00461611330392377,6,0.277692307692308,657.969230769231,13,0.00785756415685847,0.00785756415685847,3.31624188718891e-06,5.81243835803565e-06
device-monitor-260909-113357.log,right,3,2.002,2.502,6,6,2.25083333333333,2.66567937800815,0.00129602298850617,0.00345478175388539,6,0.268461538461538,658.347692307692,13,0.00802671244219229,0.00802671244219229,3.27313909685916e-06,5.81243835803565e-06
